Project,CurrencyLinks,Starts in,Sale info
GameHub,Solana,https://twitter.com/GameHubNFT,"5/31/2022, 9:09:00 AM",Sale: 1 SOL
ZelenskiyNFT,Ethereum,https://twitter.com/zelenskiynft,"5/31/2022, 3:00:00 PM",Sale: 0.2 ETH
CryptoClovers,CryptoClovers,https://twitter.com/quadrifoliumio,"6/1/2022, 6:00:00 PM",Sale: 0.5 BNB
PandaQ,Ethereum,https://twitter.com/pandaqio,"6/1/2022, 11:00:00 PM",Pre-sale: 0.2 ETH
Dribblie,Ethereum,https://twitter.com/DribblieGame,"6/2/2022, 8:00:00 PM",Pre-sale: 0.08 ETH
OnlyGirl,Ethereum,https://twitter.com/NFTOnlyGirl,"6/4/2022, 5:00:00 PM",Sale: 0.1 ETH
Primitive Club,Ethereum,https://twitter.com/primitive_club,"6/4/2022, 10:00:00 PM",Pre-sale: 0.05 ETH
Myworld,Myworld,https://twitter.com/myworld_nft,"6/6/2022, 12:00:00 PM",Pre-sale: 77 MATIC
Harvest Dao NFTs,Ethereum,https://twitter.com/Harvest_Dao,"6/15/2022, 5:00:00 PM",Sale: 0.15 ETH
SOLPARK NFT,Solana,https://twitter.com/Solpark_nft,"6/16/2022, 6:20:00 PM",Pre-sale: 1 SOL
Club Nirvana,Ethereum,https://twitter.com/ClubNirvanaNFT,"6/18/2022, 8:00:00 AM",Sale: 1.0 SOL
Tsukino Neko,Solana,https://twitter.com/Tsukiversenft,"6/22/2022, 3:00:00 AM",Sale: 1.3 SOL
Rich Rhino Club,Ethereum,https://twitter.com/richrhinoclub,"6/30/2022, 9:00:00 PM",Pre-sale: 0.035 ETH
The Legend of Talkado,The Legend of Talkado,https://twitter.com/TalkadoNFT,"7/5/2022, 10:59:00 PM",Pre-sale: 0.25 BNB
DBAG,Ethereum,https://twitter.com/dbagnft,"7/8/2022, 11:00:00 PM",Sale: 0.15 ETH
Dapper Ape High Society,Solana,https://twitter.com/DAHSNFT,"12/20/2022, 2:00:00 AM",Sale: 0.75 SOL
